Unnamed: 0,station_id,y_coord,x_coord,frequency_mhz,bandwidth_mhz,azimuth_deg,state,licensee,beamwidth_deg
37,K202BU,33.6675277777778,-114.059916666667,88.1,0.01,0.0,AZ ,"ADVANCE MINISTRIES, INC. D/B/A                                              ",360.0
38,KNNB        ,33.7630833333333,-109.961472222222,88.1,0.01,183.0,AZ ,APACHE RADIO BROADCASTING CORPORATION                                       ,120.0
47,K201HR,39.4673611111111,-123.760555555556,88.1,0.01,139.8,CA ,MENDOCINO COUNTY PUBLIC BROADCASTING                                        ,120.0
49,KPFZ-FM     ,38.9896111111111,-122.769138888889,88.1,0.01,655.0,CA ,LAKE COUNTY COMMUNITY RADIO INC                                             ,120.0
63,K201ES,33.6175277777778,-114.773305555556,88.1,0.01,0.0,CA ,CSN INTERNATIONAL                                                           ,360.0
133,W201BL,39.7217222222222,-90.1959444444445,88.1,0.01,0.0,IL ,"FAMILY WORSHIP CENTER CHURCH, INC.                                          ",360.0
151,W201BO,38.6839444444444,-87.4355833333333,88.1,0.01,0.0,IN ,BETHEL BAPTIST CHURCH                                                       ,360.0
152,WSRC        ,40.1500277777778,-86.9038888888889,88.1,0.01,119.0,IN ,"CALVARY CHAPEL OF CRAWFORDSVILLE, INC.                                      ",120.0
224,KRNM        ,15.1513888888889,145.719722222222,88.1,0.01,38.0,MP ,"MARIANAS EDUCATIONAL MEDIA SERVICES, INC.                                   ",120.0
225,WAIT        ,34.2003055555556,-90.5730833333333,88.1,0.01,0.0,MS ,OPEN SKY RADIO CORP                                                         ,360.0
233,KFGL        ,45.9506944444444,-112.512305555556,88.1,0.01,-166.0,MT ,OLD FASHION BAPTIST CHURCH OF BUTTE                                         ,120.0
235,KGVA        ,48.1883055555556,-108.710694444444,88.1,0.01,243.0,MT ,AANIIIH NAKODA COLLEGE                                                      ,120.0
242,WCQS        ,35.5898055555556,-82.6737222222222,88.1,0.01,356.0,NC ,WESTERN NORTH CAROLINA PUBLIC RADIO                                         ,120.0
246,DWOPR       ,36.4350277777778,-79.9284166666667,88.1,0.01,35.0,NC ,CHURCH PLANTERS OF AMERICA                                                  ,120.0
274,KENE        ,36.6830833333333,-104.414416666667,88.1,0.01,431.0,NM ,EASTERN NEW MEXICO UNIVERSITY                                               ,120.0
286,KCEP        ,36.0085833333333,-115.006916666667,88.1,0.01,364.0,NV ,ECONOMIC OPPORTUNITY BOARD OF CLARK COUNTY                                  ,120.0
293,WXBA        ,40.7720277777778,-73.2548333333333,88.1,0.01,29.0,NY ,BRENTWOOD UNION FREE SCHOOL DISTRICT                                        ,120.0
308,WARY        ,41.0703611111111,-73.7898333333333,88.1,0.01,123.0,NY ,WESTCHESTER COMMUNITY COLLEGE                                               ,120.0
313,WYFY        ,40.0270277777778,-81.5523333333333,88.1,0.01,44.0,OH ,"BIBLE BROADCASTING NETWORK, INC.                                            ",120.0
322,KTUA        ,36.1320277777778,-96.24,88.1,0.01,136.0,OK ,EDUCATIONAL MEDIA FOUNDATION                                                ,120.0
350,WHHN        ,40.4886944444445,-78.3552777777778,88.1,0.01,412.1,PA ,"RADIO MARIA, INC.                                                           ",120.0
357,WSRU        ,41.062,-80.0428333333333,88.1,0.01,24.0,PA ,"SLIPPERY ROCK STUDENT GOVERNMENT ASSOCIATION, INC.                          ",120.0
358,WRGN        ,41.2983888888889,-76.1240833333333,88.1,0.01,92.0,PA ,GOOD NEWS FOR LIFE                                                          ,120.0
362,WVYC        ,39.9470277777778,-76.7293888888889,88.1,0.01,0.0,PA ,YORK COLLEGE OF PENNSYLVANIA                                                ,360.0
373,KFCA        ,45.47225,-98.5039166666667,88.1,0.01,32.0,SD ,"AMERICAN CHRISTIAN RADIO, INC.                                              ",120.0
380,KRSD        ,43.5269166666667,-96.7386388888889,88.1,0.01,56.0,SD ,MINNESOTA PUBLIC RADIO                                                      ,120.0
383,WAMP        ,35.6606111111111,-88.8583888888889,88.1,0.01,41.0,TN ,AMERICAN FAMILY ASSOCIATION                                                 ,120.0
384,WRSN        ,36.2934722222222,-86.2575,88.1,0.01,92.4,TN ,"RISEN RADIO, INC.                                                           ",120.0
413,KFTG        ,29.6885555555556,-95.2021388888889,88.1,0.01,57.0,TX ,ALELUYA BROADCASTING NETWORK                                                ,120.0
428,K201CW,38.5335833333333,-109.512611111111,88.1,0.01,101.0,UT ,CSN INTERNATIONAL                                                           ,120.0
430,KPGR        ,40.3632777777778,-111.72575,88.1,0.01,-344.0,UT ,ALPINE SCHOOL DISTRICT                                                      ,120.0
454,KAYB        ,46.33125,-120.015333333333,88.1,0.01,-58.0,WA ,AMERICAN FAMILY ASSOCIATION                                                 ,120.0
475,WVRR        ,38.8470277777778,-82.1304166666667,88.1,0.01,88.0,WV ,"POSITIVE ALTERNATIVE RADIO, INC.                                            ",120.0
476,KCYO        ,41.1595833333333,-104.722166666667,88.1,0.01,64.0,WY ,"COMMUNITY BROADCASTING, INC.                                                ",120.0
480,KCWC-FM     ,42.583,-108.710666666667,88.1,0.01,442.0,WY ,CENTRAL WYOMING COLLEGE                                                     ,120.0
501,KVCP        ,33.5963888888889,-112.092777777778,88.3,0.01,304.0,AZ ,"VCY AMERICA, INC.                                                           ",120.0
505,KCPC        ,38.7493333333333,-120.669361111111,88.3,0.01,120.0,CA ,NEVADA CITY COMMUNITY BROADCAST GROUP                                       ,120.0
527,KFFR        ,40.0391666666667,-105.891305555556,88.3,0.01,94.0,CO ,"FRASER VALLEY COMMUNITY MEDIA, INC.                                         ",120.0
532,WAYP        ,30.4385555555556,-85.4240833333333,88.3,0.01,105.0,FL ,HOPE MEDIA GROUP                                                            ,120.0
545,WUTU        ,31.6451666666667,-84.3540833333333,88.3,0.01,87.0,GA ,"SOUTHWEST GEORGIA PROJECT FOR COMMUNITY EDUCATION, INC.                     ",120.0
554,K202CG,43.404111111111106,-95.0624722222222,88.3,0.01,0.0,IA ,UNIVERSITY OF NORTHWESTERN - ST. PAUL                                       ,360.0
567,WHJR        ,37.7886944444444,-89.3371388888889,88.3,0.01,38.4,IL ,COVENANT NETWORK                                                            ,120.0
578,WDSO        ,41.6349166666667,-87.0498055555556,88.3,0.01,106.0,IN ,DUNELAND SCHOOL CORP.                                                       ,120.0
584,WKMV        ,40.15616666666671,-85.4299722222222,88.3,0.01,103.0,IN ,EDUCATIONAL MEDIA FOUNDATION                                                ,120.0
589,KBJQ        ,37.89891666666671,-95.00275,88.3,0.01,116.0,KS ,AMERICAN FAMILY ASSOCIATION                                                 ,120.0
602,KIEE        ,29.8254722222222,-91.6637222222222,88.3,0.01,152.0,LA ,SOUTHERN CONSUMERS EDUCATION FOUNDATION                                     ,120.0
619,WCXK        ,42.306416666666706,-85.6569444444445,88.3,0.01,121.0,MI ,CORNERSTONE UNIVERSITY                                                      ,120.0
627,KJCL        ,46.2390277777778,-96.0398888888889,88.3,0.01,17.0,MN ,"WE HAVE THIS HOPE CHRISTIAN RADIO, INC.                                     ",120.0
638,KVWS        ,38.5936111111111,-93.5241666666667,88.3,0.01,131.0,MO ,"COMMUNITY BROADCASTING, INC.                                                ",120.0
661,W202CD,35.7479444444444,-78.0202777777778,88.3,0.01,0.0,NC ,EDUCATIONAL MEDIA FOUNDATION                                                ,360.0
685,WFSO        ,41.9084166666667,-74.2456944444444,88.3,0.01,33.0,NY ,"REDEEMER BROADCASTING, INC.                                                 ",120.0
724,WZXQ        ,39.9611944444444,-77.4752777777778,88.3,0.01,352.0,PA ,FOUR RIVERS COMMUNITY BROADCASTING CORP.                                    ,120.0
733,WLKA        ,41.5436944444444,-75.4618333333333,88.3,0.01,251.0,PA ,EDUCATIONAL MEDIA FOUNDATION                                                ,120.0
