station_id,latitude,longitude,frequency_mhz,azimuth_deg,power_watts,zipcode,bandwidth_khz,beamwidth_deg,assigned_frequency
Wilkins Tower,41.49611111111111,-109.345,12775.0,138.4,251.18864315095823,0,200.0,3.0,12800.0
Butte,41.3525,-110.90736111111111,12775.0,138.4,251.18864315095823,0,200.0,3.0,12800.0
Wilkins Tower,41.49611111111111,-109.345,12725.0,138.4,251.18864315095823,0,200.0,3.0,12700.0
Butte,41.3525,-110.90736111111111,12775.0,138.4,125.89254117941675,0,200.0,3.0,12700.0
SUGARPINE201,41.03783333333333,-123.74822222222222,13050.0,356.2,23.442288153199204,0,200.0,3.0,12700.0
Burnt Ridge,40.74411111111111,-122.71808333333334,13050.0,139.9,89.12509381337459,0,200.0,3.0,12700.0
Zayo POP,42.95611111111111,-114.55733333333332,12775.0,156.2,26.302679918953803,0,200.0,3.0,12800.0
Zayo POP,42.95611111111111,-114.55733333333332,12725.0,156.2,46.77351412871979,0,200.0,3.0,12700.0
Canyon Mountain,42.9015,-123.28644444444444,13062.5,166.6,75.85775750291836,0,200.0,3.0,12700.0
"Red Hills, UT",37.84169444444445,-112.97436111111112,12725.0,190.8,125.89254117941675,0,200.0,3.0,12700.0
Mt. Wilson,34.22666666666667,-118.06666666666666,13000.0,111.7,165.95869074375597,0,200.0,3.0,12700.0
CROWN MTN,18.35686111111111,-64.97005555555556,12950.0,246.5,33.11311214825915,802,200.0,3.0,12700.0
Wintberg,18.349027777777778,-64.90152777777779,12825.0,94.5,33.11311214825915,802,200.0,3.0,12700.0
Red Hook,18.3255,-64.86297222222221,12775.0,107.1,54.95408738576254,802,200.0,3.0,12700.0
WINTBERG,18.349027777777778,-64.90152777777779,12950.0,246.5,20.892961308540407,802,200.0,3.0,12700.0
WINTERBERG,18.34894444444444,-64.90152777777779,12875.0,313.8,251.18864315095823,802,200.0,3.0,12700.0
WINTERBERG,18.34894444444444,-64.90152777777779,13100.0,246.5,33.11311214825915,802,200.0,3.0,12700.0
Red Hook,18.3255,-64.86297222222221,12950.0,94.5,52.48074602497731,802,200.0,3.0,12700.0
Red Hook,18.3255,-64.86297222222221,12875.0,1.4,66.06934480075964,802,200.0,3.0,12700.0
Crown Mountain,18.356916666666667,-64.97,13050.0,181.4,52.48074602497731,802,200.0,3.0,12700.0
Cottage,17.721944444444443,-64.75461111111112,12875.0,263.4,25.11886431509581,820,200.0,3.0,12700.0
Cottage,17.721944444444443,-64.75461111111112,12950.0,88.6,158.48931924611142,820,200.0,3.0,12700.0
MT WELCOME,17.72936111111111,-64.68769444444445,13050.0,268.6,15.135612484362072,820,200.0,3.0,12700.0
MT WELCOME,17.72936111111111,-64.68769444444445,13050.0,268.6,30.199517204020147,820,200.0,3.0,12700.0
Cottage,17.721944444444443,-64.75461111111112,12825.0,276.9,34.67368504525322,820,200.0,3.0,12700.0
MT WELCOME,17.72936111111111,-64.68769444444445,12775.0,263.4,30.199517204020147,820,200.0,3.0,12700.0
Cottage,17.721944444444443,-64.75461111111112,13100.0,88.6,63.09573444801933,820,200.0,3.0,12700.0
SUNNY ISLE,17.721944444444443,-64.75461111111112,12775.0,237.1,56.23413251903491,820,200.0,3.0,12700.0
Cottage,17.721944444444443,-64.75461111111112,12825.0,276.9,21.877616239495563,820,200.0,3.0,12700.0
