Unnamed: 0,station_id,latitude,longitude,frequency_mhz,bandwidth_mhz,azimuth_deg,state,licensee,assigned_frequency
393,K201BM,35.9047777777778,-100.388194444444,88.1,0.01,0.0,TX ,TOP O' TEXAS EDUCATIONAL BROADCASTING FOUNDATION                            ,88.3
883,K203EL,21.3270833333333,-157.753916666667,88.5,0.01,0.0,HI ,"HAWAII PUBLIC RADIO, INC.                                                   ",88.1
1009,K203FE,35.9886111111111,-94.9388888888889,88.5,0.01,121.0,OK ,THE MOODY BIBLE INSTITUTE OF CHICAGO                                        ,88.1
1913,K206EI,48.1416944444445,-103.89325,89.1,0.01,107.1,ND ,"CENTRAL DAKOTA ENTERPRISES, INC.                                            ",88.1
2526,K208CB,42.7846666666667,-103.996583333333,89.5,0.01,171.0,NE ,NEBRASKA EDUCATIONAL TELECOMMUNICATIONS COMMISSION                          ,88.1
4745,K215CF,37.0635833333333,-113.573,90.9,0.01,0.0,UT ,UTAH STATE UNIVERSITY OF AGRICULTURE AND APPLIED SCIENCE                    ,88.1
4816,K216FA,34.5475,-118.216666666667,91.1,0.01,0.0,CA ,CSN INTERNATIONAL                                                           ,88.3
4937,K216GM,39.9417222222222,-91.5843333333333,91.1,0.01,0.0,MO ,COVENANT NETWORK                                                            ,88.1
5690,K218AH,42.4345277777778,-124.421194444444,91.5,0.01,0.0,OR ,SOUTHERN OREGON UNIVERSITY                                                  ,88.1
6095,K219LI,28.8613611111111,-97.9058333333333,91.7,0.01,0.0,TX ,THE WORSHIP CENTER OF KINGSVILLE                                            ,88.1
6937,K222BQ,39.6705277777778,-105.913888888889,92.3,0.01,0.0,CO ,KRYSTAL BROADCASTING                                                        ,88.1
8707,K228FK,31.5093333333333,-97.1677777777778,93.5,0.01,0.0,TX ,"WACO ENTERTAINMENT GROUP, LLC                                               ",88.1
10255,K234BD,34.5955555555556,-98.5522222222222,94.7,0.01,0.0,OK ,AVERY FOX                                                                   ,88.3
11663,K240AQ,39.2718333333333,-123.692222222222,95.9,0.01,0.0,CA ,"CALIFORNIA RADIO PARTNERS, INC.                                             ",88.1
11884,K240EP,40.2824444444444,-111.936861111111,95.9,0.01,0.0,UT ,"BROADWAY MEDIA LS, LLC                                                      ",88.1
11728,K240EX,38.96433333333329,-97.2029444444444,95.9,0.01,0.0,KS ,"MERIDIAN MEDIA, LLC                                                         ",88.1
11867,K240FE,27.76975,-97.4488611111111,95.9,0.01,0.0,TX ,WILLIAM DOERNER                                                             ,88.1
